cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
-1,NOISE/UNKNOWN,"['< 0.02 % has_condition', '< 75 mm has_condition', 'both parallel to and perpendicular to the length of the repair has_consequence', 'divided_by', ""free entry to all parts of the manufacturer's works that concern the manufacture of the structural product ordered has_consequence"", 'furnished_without', 'has_case', 'has_condition', 'has_condition_AND', 'has_condition_OR', 'has_condition_and', 'has_condition_or', 'has_consequence', 'has_consequence_AND', 'has_consequence_OR', 'has_footnote', 'has_note', 'manufacturer for the hot rolling operation has_consequence', 'midway between the center and the surface has_consequence', 'processor for the processing operations has_consequence', 'shall be the full thickness of the shape has_consequence', 'achieved_by', 'addressed_to', 'adequate_for', 'agreed_to_by', 'analyzed', 'approved_by', 'are_not_specified', 'asserted_in_connection_with', 'associated_with', 'attempts_to_equate', 'author_of', 'available_in', 'capable_of_meeting', 'compared_statistically_to previous surveys', 'completely_seals', 'concern', 'conducted_by', 'confirms', 'consists_of', 'converts_into as-rolled structural product or coil', 'cool_more_rapidly_than', 'coupled_with', 'covers', 'deviate_from', 'different_from', 'do_not_take_into_account', 'does_not_preclude_possibility_of', 'does_not_provide_assurance', 'does_not_refer_to', 'embrittle_as_a_result_of', 'entitled', 'equipped_with', 'equivalent_to', 'especially_for', 'example_of', 'except_as_allowed_by', 'excludes', 'exhibits', 'finished_to_radius', 'follows', 'frequently_fall_in', 'generally_have', 'has_change', 'has_discretion_over', 'has_exception', 'has_free_entry_to', 'has_mass', 'has_permitted_camber', 'has_property', 'has_reference', 'has_slope', 'has_status', 'has_subheader', 'heat_treated_in_accordance_with', 'held_by', 'includes', 'includes_component', 'includes_determination_of', 'inspected_using', 'involved_in', 'involves_addition_of', 'is_not_considered_fault_of', 'is_optional', 'is_permitted_method', 'listed_in', 'lists', 'marked_with', 'may_attend', 'may_request', 'may_require', 'must_be_reviewed_every', 'must_not_be_combined_with', 'need_not_be_done_by', 'not_in_conflict_with', 'not_required', 'not_required_to_be_within', 'notifies', 'occurs_subsequent_to', 'offsets', 'part_of', 'performed_using', 'prescribed_in', 'presented_in', 'qualified_using', 'receive_careful_consideration_at', 'remain_official_where_so_stated', 'representative_of', 'represented_by', 'require', 'required_by', 'required_frequency', 'required_to_maintain', 'required_to_meet', 'requires_specimens_from', 'scale', 'shall_afford_all_reasonable_facilities', 'shall_be_permanently_affixed_to', 'shall_be_tempered_subsequently_in_range', 'shall_have', 'should_be_aware_of', 'shown_in_brackets', 'shows_probability_that', 'source_of', 'specified_by', 'specified_or_restricted_by', 'sponsored_by', 'stands_for', 'subject_to', 'subject_to_exception', 'subject_to_revision_at', 'subjected_to', 'tested_instead_of', 'traceable_to', 'trimmed_on', 'used_as_minimums_in', 'used_for', 'used_in_place_of', 'widely_believed_to_be_immune_to', 'withdrawn_in']",140,"[{'type_id': 29, 'label': 'case127', 'count': 10815, 'ratio': 0.758}, {'type_id': -1, 'label': 'UNK', 'count': 1265, 'ratio': 0.0887}, {'type_id': 96, 'label': 'TABLE S27.1 Permitted Variations From a Flat Surface for As-Rolled or Normalized Carbon Steel Plates Ordered to Half-Standard Flatness', 'count': 969, 'ratio': 0.0679}, {'type_id': 83, 'label': 'TABLE A2.6 Continued', 'count': 194, 'ratio': 0.0136}, {'type_id': 106, 'label': 'TABLE A1.27 Permitted Variations in Sectional Dimensions for Round and Square Bars and Round-Cornered Squares', 'count': 176, 'ratio': 0.0123}]","[{'type_id': -1, 'label': 'UNK', 'count': 4352, 'ratio': 0.305}, {'type_id': 29, 'label': 'case127', 'count': 2532, 'ratio': 0.1775}, {'type_id': 67, 'label': '49.79 kg/m² < specified_weight ≤ 74.74 kg/m², excl', 'count': 694, 'ratio': 0.0486}, {'type_id': 162, 'label': 'permitted_variation_from_flat_surface = 57 mm', 'count': 437, 'ratio': 0.0306}, {'type_id': 243, 'label': '1800 mm < Specified Width ≤ 2100 mm, excl', 'count': 410, 'ratio': 0.0287}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 85.7305}, {'relation': 'is_acceptable', 'score': 79.5028}, {'relation': 'is_calculated_as', 'score': 76.6975}, {'relation': 'is_placed_on', 'score': 5.0}, {'relation': 'directly_controls_or_is_responsible_for', 'score': 4.5}]"
28,has_minimum_width,"['has_diameter', 'has_dimensions', 'has_full_thickness', 'has_maximum_allowed', 'has_maximum_content', 'has_maximum_cross_sectional_dimension', 'has_maximum_length', 'has_maximum_percentage', 'has_maximum_thickness', 'has_maximum_width', 'has_minimum_content', 'has_minimum_diameter', 'has_minimum_dimensions', 'has_minimum_distance_from_surface', 'has_minimum_flange_thickness', 'has_minimum_flange_width', 'has_minimum_length', 'has_minimum_on_heat_analysis', 'has_minimum_on_product_analysis', 'has_minimum_projection', 'has_minimum_separation', 'has_minimum_thickness', 'has_minimum_thickness_or_diameter', 'has_minimum_value', 'has_minimum_width', 'has_permitted_variations_in_diameter', 'has_specified_width_range', 'has_width']",28,"[{'type_id': -1, 'label': 'UNK', 'count': 37, 'ratio': 0.9487}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.0256}, {'type_id': 54, 'label': 'Tension Tests', 'count': 1, 'ratio': 0.0256}]","[{'type_id': -1, 'label': 'UNK', 'count': 16, 'ratio': 0.4103}, {'type_id': 24, 'label': '40 mm', 'count': 10, 'ratio': 0.2564}, {'type_id': 1, 'label': '0.20 %', 'count': 6, 'ratio': 0.1538}, {'type_id': 17, 'label': '150 mm', 'count': 6, 'ratio': 0.1538}, {'type_id': 7, 'label': '≤ 2 % of the total surface area of that piece', 'count': 1, 'ratio': 0.0256}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 13.3008}, {'relation': 'is_acceptable', 'score': 11.8536}, {'relation': 'is_calculated_as', 'score': 11.8536}, {'relation': 'achieved_by', 'score': 6.5}, {'relation': 'offsets', 'score': 4.5}]"
79,shall_be,"['shall_be', 'shall_be_avoided', 'shall_be_from', 'shall_be_made_for', 'shall_be_performed', 'shall_be_reported', 'shall_be_shown_in', 'shall_identify', 'shall_not_exceed', 'shall_report', 'shall_show', 'shall_state']",12,"[{'type_id': -1, 'label': 'UNK', 'count': 12, 'ratio': 0.8571}, {'type_id': 41, 'label': 'carbon', 'count': 2, 'ratio': 0.1429}]","[{'type_id': -1, 'label': 'UNK', 'count': 14, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 10.0}, {'relation': 'is_acceptable', 'score': 10.0}, {'relation': 'is_calculated_as', 'score': 10.0}, {'relation': 'includes_determination_of', 'score': 1.4327}, {'relation': 'stands_for', 'score': 1.3834}]"
49,qualified_in_accordance_with,"['conducted_in_accordance_with', 'determined_in_accordance_with', 'in_accordance_with', 'is_considered_qualified', 'made_in_accordance_with', 'qualified_for_shipment_on_the_basis_of', 'qualified_in_accordance_with']",7,"[{'type_id': -1, 'label': 'UNK', 'count': 15, 'ratio': 0.8824}, {'type_id': 8, 'label': 'Practice E29 rounding method', 'count': 1, 'ratio': 0.0588}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.0588}]","[{'type_id': -1, 'label': 'UNK', 'count': 13, 'ratio': 0.7647}, {'type_id': 21, 'label': '11.4.4', 'count': 2, 'ratio': 0.1176}, {'type_id': 79, 'label': 'applicable ASTM designation', 'count': 1, 'ratio': 0.0588}, {'type_id': 8, 'label': 'Practice E29 rounding method', 'count': 1, 'ratio': 0.0588}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 6.9131}, {'relation': 'is_acceptable', 'score': 6.9131}, {'relation': 'is_calculated_as', 'score': 6.0}, {'relation': 'is_a_function_of', 'score': 0.9131}]"
32,has_address,"['has_access', 'has_address', 'has_code', 'has_count', 'has_direction', 'has_title']",6,"[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 7, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 6.0}, {'relation': 'is_acceptable', 'score': 6.0}, {'relation': 'is_calculated_as', 'score': 6.0}]"
9,document_type,"['document_type', 'documents', 'forms', 'is_type_of', 'other foreign material']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.2}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}, {'relation': 'performed_by', 'score': 0.6826}, {'relation': 'excludes', 'score': 0.5774}]"
25,multiplied_by,"['calculated_by', 'is_calculated_as', 'multiplied_by', 'multiplied_by 0.5', 'subtracted_by']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.4545}, {'type_id': 5, 'label': '1/2B±E1', 'count': 5, 'ratio': 0.4545}, {'type_id': 41, 'label': 'carbon', 'count': 1, 'ratio': 0.0909}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.5455}, {'type_id': 5, 'label': '1/2B±E1', 'count': 5, 'ratio': 0.4545}]","[{'relation': 'added_to', 'score': 3.0}, {'relation': 'subtracted_by', 'score': 2.0}, {'relation': 'multiplied_by 0.5', 'score': 2.0}, {'relation': 'multiplied_by', 'score': 2.0}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.9617}]"
38,referenced_to,"['cross_referenced_on', 'referenced_as', 'referenced_in', 'referenced_in_OR', 'referenced_to']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 0.9167}, {'type_id': 49, 'label': 'Fine Austenitic Grain Size', 'count': 1, 'ratio': 0.0833}]","[{'type_id': -1, 'label': 'UNK', 'count': 8, 'ratio': 0.6667}, {'type_id': 21, 'label': '11.4.4', 'count': 3, 'ratio': 0.25}, {'type_id': 20, 'label': 'Section 6', 'count': 1, 'ratio': 0.0833}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.8373}, {'relation': 'is_acceptable', 'score': 4.8373}, {'relation': 'is_calculated_as', 'score': 4.8373}]"
77,as_given_in,"['are_given_in', 'as_given_in', 'generally_given_as', 'given_in', 'specified_in']",5,"[{'type_id': -1, 'label': 'UNK', 'count': 12, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 0.9167}, {'type_id': 37, 'label': 'Tables 16 to 25 [Annex A1, Tables A1.16 to A1.25] inclusive', 'count': 1, 'ratio': 0.0833}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}, {'relation': 'lists', 'score': 0.6213}, {'relation': 'achieved_by', 'score': 0.5}]"
8,grease,"['grease', 'moisture', 'rust', 'slag']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}]"
